OR4F5	ENSG00000186092.7	ENST00000641515.2
OR4F29	ENSG00000284733.2	ENST00000426406.4
OR4F16	ENSG00000284662.2	ENST00000332831.5
SAMD11	ENSG00000187634.13	ENST00000616016.5
NOC2L	ENSG00000188976.11	ENST00000327044.7
KLHL17	ENSG00000187961.15	ENST00000338591.8
PLEKHN1	ENSG00000187583.11	ENST00000379410.8
PERM1	ENSG00000187642.10	ENST00000433179.4
HES4	ENSG00000188290.11	ENST00000428771.6
ISG15	ENSG00000187608.10	ENST00000624697.4
AGRN	ENSG00000188157.16	ENST00000379370.7
RNF223	ENSG00000237330.3	ENST00000453464.3
C1orf159	ENSG00000131591.18	ENST00000421241.7
TTLL10	ENSG00000162571.14	ENST00000379289.6
TNFRSF18	ENSG00000186891.14	ENST00000379268.7
TNFRSF4	ENSG00000186827.12	ENST00000699969.1
SDF4	ENSG00000078808.20	ENST00000263741.12
B3GALT6	ENSG00000176022.7	ENST00000379198.5
C1QTNF12	ENSG00000184163.3	ENST00000330388.2
UBE2J2	ENSG00000160087.21	ENST00000349431.11
SCNN1D	ENSG00000162572.21	ENST00000379116.10
ACAP3	ENSG00000131584.19	ENST00000354700.10
PUSL1	ENSG00000169972.13	ENST00000379031.10
INTS11	ENSG00000127054.22	ENST00000540437.5
CPTP	ENSG00000224051.7	ENST00000343938.9
TAS1R3	ENSG00000169962.5	ENST00000339381.6
DVL1	ENSG00000107404.21	ENST00000378888.10
MXRA8	ENSG00000162576.17	ENST00000477278.3
AURKAIP1	ENSG00000175756.14	ENST00000338338.10
CCNL2	ENSG00000221978.13	ENST00000400809.8
MRPL20	ENSG00000242485.6	ENST00000344843.12
ANKRD65	ENSG00000235098.9	ENST00000427211.3
TMEM88B	ENSG00000205116.4	ENST00000378821.4
VWA1	ENSG00000179403.12	ENST00000476993.2
ATAD3C	ENSG00000215915.10	ENST00000378785.7
ATAD3B	ENSG00000160072.20	ENST00000673477.1
ATAD3A	ENSG00000197785.14	ENST00000378756.8
TMEM240	ENSG00000205090.10	ENST00000378733.9
SSU72	ENSG00000160075.12	ENST00000291386.4
FNDC10	ENSG00000228594.4	ENST00000422725.4
MIB2	ENSG00000197530.13	ENST00000355826.10
MMP23B	ENSG00000189409.14	ENST00000356026.10
CDK11B	ENSG00000248333.9	ENST00000341832.11
SLC35E2B	ENSG00000189339.12	ENST00000614300.4
CDK11A	ENSG00000008128.23	ENST00000404249.8
NADK	ENSG00000008130.15	ENST00000378625.5
GNB1	ENSG00000078369.19	ENST00000703700.1
CALML6	ENSG00000169885.10	ENST00000307786.8
TMEM52	ENSG00000178821.13	ENST00000310991.8
CFAP74	ENSG00000142609.20	ENST00000493964.5
GABRD	ENSG00000187730.9	ENST00000378585.7
PRKCZ	ENSG00000067606.17	ENST00000378567.8
FAAP20	ENSG00000162585.17	ENST00000400919.7
SKI	ENSG00000157933.11	ENST00000378536.5
MORN1	ENSG00000116151.14	ENST00000378531.8
RER1	ENSG00000157916.20	ENST00000378513.7
PEX10	ENSG00000157911.11	ENST00000288774.8
PLCH2	ENSG00000149527.18	ENST00000449969.5
PANK4	ENSG00000157881.16	ENST00000378466.9
HES5	ENSG00000197921.6	ENST00000378453.4
TNFRSF14	ENSG00000157873.18	ENST00000355716.5
PRXL2B	ENSG00000157870.17	ENST00000444521.6
